工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,20000-30000元,五险一金/补充医疗保险/定期体检/年终奖/股票期权/带薪年假/餐补/零食下午茶/年终分红/带薪年假/不打卡/地铁周边/领导nice/零食水果/餐补早餐/清北大队友,北京旷视科技有限公司成立于2011 年，是全球领先的人工智能科技企业，以自研视觉感知算法引擎为核心，致力于持续打造在各商业领域的AIoT 操作系统，以及深度构建具备连接百亿物联网设备能力的生态系统。旷视持续聚焦算法与工程创新，通过底层统一的AIoT 操作系统（AIoT OS）建设，旷视正在为200,"高级python开发工程师
岗位职责：
1、负责搭建和持续改进数据服务平台的后端服务负责技术攻关和创新技术引用；
2、解决产品开发过程中的高性能，高并发和高可靠性问题指导和协调其他开发人员的工作。
任职要求：
1、统招本科学历，985/211优先，3年以上的后端开发工作经验有良好的计算机专业知识和扎实的编程功底，计算机相关专业，统招本科及以上学历，基础数据结构和算法非常扎实，踏实，靠谱
2、熟练掌握Python/Golang开发语言和Web框架；
3、熟悉MySQL/Redis/MongoDB熟悉分布式、微服务、高性能Web服务的开发；
4、有一定的系统架构设计能力者优先；
5、有独立分析和解决问题的能力，有良好的团队合作精神。",北京海淀区融科资讯中心A座3搂
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,10000-20000元,五险一金/定期体检/年终奖/带薪年假/免费班车/节日福利/零食下午茶/绩效奖金/美女多/领导好/公司氛围好/带薪年假/年度旅游/领导nice/免费零食/地铁周边,"软通动力信息技术（集团）有限公司：

软通动力信息技术（集团）有限公司（以下简称：软通动力）是中国领先的创新型软件及信息技术服务商，数字经济使能者。公司2001年成立于北京，立足中国，服务全球市场。经过17年发展，目前公司在全球36个城市设有90余个分支机构25个全球交付中心，员工总数5000",python语言后台开发，熟悉数据库，我们缺口9个，欢迎推荐，3年到10年经验都要，感谢，如果有需要可以加我微信*****,深圳龙岗区金荣达科技工业园00号
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,13000-18000元,五险一金/定期体检/年终奖/带薪年假/免费班车/节日福利/零食下午茶/绩效奖金,"软通动力信息技术（集团）有限公司：

软通动力信息技术（集团）有限公司（以下简称：软通动力）是中国领先的创新型软件及信息技术服务商，数字经济使能者。公司2001年成立于北京，立足中国，服务全球市场。经过17年发展，目前公司在全球36个城市设有90余个分支机构25个全球交付中心，员工总数5000","""熟悉python,有完整的python项目开发经验
熟悉mysql数据库基本操作 熟悉linux基本操作，最好找 mysql、linux经验好一点的，python开发能力强点的，不要只写业务API和读写数据库的这种python""",杭州市 西湖区 云栖小镇
工作,薪水,工作标签,公司介绍,职位描述,工作地址
python,13000-17000元,五险一金/定期体检/加班补助/年终奖/带薪年假/员工旅游/通讯补贴/节日福利/零食下午茶/公司氛围好/领导nice/互联网金融/福利待遇/地铁周边/五险一金/人性化管理,汉克时代(BringTek)，在互联网、电子商务、能源物流、金融、保险、通讯、电信、教育、ERP等领域积累了丰富的行业经验，与数家国内、国外知名大型企业建立了长期友好的合作关系。 具备全面的信息咨询、解决方案，和为客户提供专业的软件开发和维护、 质量保证和测试、本地化和全球化以及业务帮助客户实现收益,"、熟练掌握python  地址：上海市浦东新区杨高北路5号门，台南西路80号
2、熟悉框架tornado 
3、熟悉数据库，如mysql、redis、mongodb 
4、对网络技术有一定了解 
5、具有较强的沟通能力、学习能力 
6、能够维护已有代码 
7、能够适应驻场工作并符合驻场工作要求",上海市 嘉定区 中国工商银行数据中心
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,10000-20000元,五险一金/定期体检/加班补助/年终奖/带薪年假/员工旅游/免费班车/餐补/通讯补贴/交通补助/节日福利/零食下午茶/带薪年假/领导nice/公司氛围好/美女如云/绩效奖金/双休/弹性打卡/有班车,"【软通动力信息技术（集团）有限公司】
作为中国智慧城市与产业互联网（互联网+）建设的领导者，领先的创新型技术服务提供商，软通动力立足中国，服务全球。公司主营业务涵盖智慧业务与信息技术服务两大领域，具备端到端“软件 +服务”综合业务能力和强大的纵深服务优势。
在智慧业务领域",熟悉shell脚本语言，能够熟练编写shell脚本，熟悉linux环境,西安未央区沣东新城沣东新城协同创新港
工作,薪水,工作标签,公司介绍,职位描述,工作地址
